iter	Passed	Remaining
926	414474	32639
927	414903	32190
928	415395	31747
929	415850	31300
930	416275	30851
931	416760	30407
932	417260	29964
933	417702	29516
934	418215	29073
935	418717	28630
936	419170	28183
937	419656	27738
938	420129	27292
939	420612	26847
940	421093	26402
941	421609	25958
942	422109	25514
943	422562	25067
944	423044	24621
945	423517	24175
946	423944	23726
947	424413	23280
948	424885	22833
949	425306	22384
950	425816	21940
951	426256	21491
952	426737	21045
953	427163	20596
954	427614	20149
955	428064	19701
956	428590	19257
957	429044	18809
958	429483	18361
959	429931	17913
960	430362	17465
961	430831	17018
962	431311	16571
963	431820	16126
964	432248	15677
965	432750	15231
966	433220	14784
967	433650	14335
968	434103	13887
969	434543	13439
970	434986	12991
971	435445	12543
972	435885	12095
973	436323	11647
974	436831	11200
975	437294	10753
976	437749	10305
977	438275	9858
978	438727	9410
979	439255	8964
980	439698	8516
981	440172	8068
982	440651	7620
983	441107	7172
984	441580	6724
985	442016	6276
986	442476	5827
987	442922	5379
988	443423	4931
989	443865	4483
990	444324	4035
991	444801	3587
992	445232	3138
993	445653	2690
994	446081	2241
995	446511	1793
996	446942	1344
997	447390	896
998	447821	448
999	448266	0
